Facilities,Amount,Comments,Sentiment
Hall Rental,6324,"Terrible and awful experience, would not go back.",Negative
Entrance,20177,"Everything was superb, clean, and well-maintained.",Positive
Entrance,20150,"Beautiful view and very friendly, helpful staff.",Positive
Room,9676,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,22604,"Excellent facility, highly recommend to everyone!",Positive
Entrance,4580,Madumi yung area nung dumating kami.,Negative
Event,29061,Mabait at magalang ang mga staff dito.,Positive
Entrance,28631,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,26138,"Everything was superb, clean, and well-maintained.",Positive
Entrance,23435,Great value for money and a relaxing vibe.,Positive
Room,6787,Rude staff and very slow service at reception.,Negative
Room,16540,"Excellent facility, highly recommend to everyone!",Positive
Event,21316,"Beautiful view and very friendly, helpful staff.",Positive
Room,15571,The service was perfect and absolutely amazing.,Positive
Entrance,16224,"It was an okay stay, average service overall.",Neutral
Hall Rental,2378,Rude staff and very slow service at reception.,Negative
Entrance,9915,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,19431,Sulit na sulit ang booking namin.,Positive
Entrance,11835,"The room was decent and normal, nothing special.",Neutral
Reservation,26494,The service was perfect and absolutely amazing.,Positive
Reservation,11645,"It was an okay stay, average service overall.",Neutral
Room,19493,The service was perfect and absolutely amazing.,Positive
Reservation,8539,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,6350,Rude staff and very slow service at reception.,Negative
Entrance,10561,"Standard amenities, fine experience for the price.",Neutral
Room,22667,Walang kupas ang ganda ng pool area.,Positive
Room,14132,The facilities are fine but could be better.,Neutral
Room,7491,The water was cloudy and the area was messy.,Negative
Event,8446,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,8130,Madumi yung area nung dumating kami.,Negative
Event,11976,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,8120,The water was cloudy and the area was messy.,Negative
Entrance,14305,"It was an okay stay, average service overall.",Neutral
Entrance,5170,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,12287,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,2954,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,13788,Good location but service was just standard.,Neutral
Event,9881,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,19632,Mabait at magalang ang mga staff dito.,Positive
Entrance,17101,"The room was decent and normal, nothing special.",Neutral
Hall Rental,20779,Great value for money and a relaxing vibe.,Positive
Room,3211,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,14049,The facilities are fine but could be better.,Neutral
Reservation,23006,The service was perfect and absolutely amazing.,Positive
Event,6631,Madumi yung area nung dumating kami.,Negative
Room,15130,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,6372,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,28807,Walang kupas ang ganda ng pool area.,Positive
Reservation,18726,Great value for money and a relaxing vibe.,Positive
Entrance,17979,"Everything was superb, clean, and well-maintained.",Positive
Event,10942,"It was an okay stay, average service overall.",Neutral
Hall Rental,14905,The facilities are fine but could be better.,Neutral
Room,17134,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,21457,Mabait at magalang ang mga staff dito.,Positive
Entrance,18174,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,18192,"Everything was superb, clean, and well-maintained.",Positive
Event,10660,"It was an okay stay, average service overall.",Neutral
Hall Rental,6071,"Disappointing stay, a total waste of money.",Negative
Hall Rental,15470,Good location but service was just standard.,Neutral
Hall Rental,6196,"Terrible and awful experience, would not go back.",Negative
Room,8855,"It was an okay stay, average service overall.",Neutral
Event,12875,Medyo okay naman ang experience namin.,Neutral
Reservation,6780,The water was cloudy and the area was messy.,Negative
Reservation,9998,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,16895,"Beautiful view and very friendly, helpful staff.",Positive
Event,8322,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,8559,Madumi yung area nung dumating kami.,Negative
Entrance,15891,"Excellent facility, highly recommend to everyone!",Positive
Event,7215,Rude staff and very slow service at reception.,Negative
Entrance,15124,The facilities are fine but could be better.,Neutral
Entrance,16399,"The room was decent and normal, nothing special.",Neutral
Room,23041,Sulit na sulit ang booking namin.,Positive
Entrance,6613,"Terrible and awful experience, would not go back.",Negative
Hall Rental,4131,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,8034,The water was cloudy and the area was messy.,Negative
Reservation,2066,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,6270,"Disappointing stay, a total waste of money.",Negative
Reservation,26244,Mabait at magalang ang mga staff dito.,Positive
Room,17177,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,11243,"The room was decent and normal, nothing special.",Neutral
Hall Rental,29906,The service was perfect and absolutely amazing.,Positive
Hall Rental,17570,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,8961,The water was cloudy and the area was messy.,Negative
Reservation,5460,Rude staff and very slow service at reception.,Negative
Hall Rental,27398,Mabait at magalang ang mga staff dito.,Positive
Event,17849,Mabait at magalang ang mga staff dito.,Positive
Event,16365,The service was perfect and absolutely amazing.,Positive
Hall Rental,7984,Madumi yung area nung dumating kami.,Negative
Room,5824,Rude staff and very slow service at reception.,Negative
Entrance,20305,"Excellent facility, highly recommend to everyone!",Positive
Event,14468,Good location but service was just standard.,Neutral
Hall Rental,25246,Sulit na sulit ang booking namin.,Positive
Event,24865,Sulit na sulit ang booking namin.,Positive
Room,5734,The water was cloudy and the area was messy.,Negative
Room,17499,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,7700,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,4440,Madumi yung area nung dumating kami.,Negative
Room,2340,The water was cloudy and the area was messy.,Negative
Hall Rental,16988,"The room was decent and normal, nothing special.",Neutral
Entrance,11699,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,15470,Medyo okay naman ang experience namin.,Neutral
Hall Rental,24874,"Beautiful view and very friendly, helpful staff.",Positive
Event,12005,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,14419,Good location but service was just standard.,Neutral
Hall Rental,27813,Great value for money and a relaxing vibe.,Positive
Room,10153,Medyo okay naman ang experience namin.,Neutral
Reservation,9557,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,14155,Good location but service was just standard.,Neutral
Reservation,23321,"Everything was superb, clean, and well-maintained.",Positive
Room,27677,Sulit na sulit ang booking namin.,Positive
Reservation,10378,The facilities are fine but could be better.,Neutral
Entrance,12729,Good location but service was just standard.,Neutral
Event,29397,The service was perfect and absolutely amazing.,Positive
Reservation,23702,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,15382,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,22956,"Beautiful view and very friendly, helpful staff.",Positive
Room,13808,The facilities are fine but could be better.,Neutral
Reservation,14588,"It was an okay stay, average service overall.",Neutral
Entrance,10330,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,8182,Good location but service was just standard.,Neutral
Reservation,25247,The service was perfect and absolutely amazing.,Positive
Event,8533,The water was cloudy and the area was messy.,Negative
Reservation,3932,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,17765,"Standard amenities, fine experience for the price.",Neutral
Room,10341,"It was an okay stay, average service overall.",Neutral
Reservation,29275,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,20541,Great value for money and a relaxing vibe.,Positive
Hall Rental,4226,"Disappointing stay, a total waste of money.",Negative
Entrance,17863,Walang kupas ang ganda ng pool area.,Positive
Room,16691,"It was an okay stay, average service overall.",Neutral
Room,18440,"Everything was superb, clean, and well-maintained.",Positive
Entrance,12364,Good location but service was just standard.,Neutral
Room,12117,The facilities are fine but could be better.,Neutral
Entrance,2329,"Terrible and awful experience, would not go back.",Negative
Entrance,10035,The facilities are fine but could be better.,Neutral
Hall Rental,16970,Sulit na sulit ang booking namin.,Positive
Event,17497,"It was an okay stay, average service overall.",Neutral
Reservation,6601,Rude staff and very slow service at reception.,Negative
Reservation,7187,"Terrible and awful experience, would not go back.",Negative
Room,8408,"Disappointing stay, a total waste of money.",Negative
Hall Rental,12334,The facilities are fine but could be better.,Neutral
Reservation,20901,Sulit na sulit ang booking namin.,Positive
Reservation,3093,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,4013,Rude staff and very slow service at reception.,Negative
Reservation,29983,The service was perfect and absolutely amazing.,Positive
Room,7694,"Disappointing stay, a total waste of money.",Negative
Room,15835,The facilities are fine but could be better.,Neutral
Reservation,15786,"It was an okay stay, average service overall.",Neutral
Room,14509,Good location but service was just standard.,Neutral
Entrance,28428,Mabait at magalang ang mga staff dito.,Positive
Reservation,27232,Sulit na sulit ang booking namin.,Positive
Hall Rental,9025,"Disappointing stay, a total waste of money.",Negative
Hall Rental,17475,Great value for money and a relaxing vibe.,Positive
Entrance,24873,"Everything was superb, clean, and well-maintained.",Positive
Reservation,14376,"The room was decent and normal, nothing special.",Neutral
Room,7249,"Terrible and awful experience, would not go back.",Negative
Hall Rental,10961,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,20132,Walang kupas ang ganda ng pool area.,Positive
Reservation,8937,Rude staff and very slow service at reception.,Negative
Event,9124,"It was an okay stay, average service overall.",Neutral
Event,17548,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,10749,Good location but service was just standard.,Neutral
Event,16308,"Everything was superb, clean, and well-maintained.",Positive
Reservation,8405,Rude staff and very slow service at reception.,Negative
Room,15130,Good location but service was just standard.,Neutral
Reservation,9772,"It was an okay stay, average service overall.",Neutral
Entrance,8954,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,14615,Medyo okay naman ang experience namin.,Neutral
Event,12827,The facilities are fine but could be better.,Neutral
Reservation,5032,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,9865,Madumi yung area nung dumating kami.,Negative
Event,20631,"Excellent facility, highly recommend to everyone!",Positive
Event,9636,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,11730,Good location but service was just standard.,Neutral
Reservation,18788,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,13326,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,6645,"Terrible and awful experience, would not go back.",Negative
Room,25948,The service was perfect and absolutely amazing.,Positive
Room,17010,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,12778,Good location but service was just standard.,Neutral
Reservation,21979,Mabait at magalang ang mga staff dito.,Positive
Entrance,2548,"Disappointing stay, a total waste of money.",Negative
Entrance,6522,"Disappointing stay, a total waste of money.",Negative
Hall Rental,4256,Madumi yung area nung dumating kami.,Negative
Reservation,4275,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,17745,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,9669,Rude staff and very slow service at reception.,Negative
Entrance,9216,Rude staff and very slow service at reception.,Negative
